CityID,X,Y
169402,1307816,772158
73346,238816,2664950
25426,4662952,3062660
13413,3572944,1635763
191562,1403658,1278527
158140,1965779,1646306
117585,3113471,2285278
152340,2454132,1597244
67066,4879030,1819683
90650,4517751,1838588
5098,4813437,3054003
95129,4528002,2000552
23841,3519053,858774
42301,2140467,372711
29227,208156,2945480
103963,3412081,3151057
172602,4628889,2609572
191860,3679594,2037671
134813,3517673,1762015
48326,2719483,2241066
192851,4493862,842229
145506,683822,779553
18063,1905874,2564823
8026,779285,1337776
78513,4641857,2348173
28029,2188961,1333289
97587,2397510,1034176
46568,4221370,2141755
95490,2976920,676654
52066,3032660,1662196
173439,4265146,389763
144670,3078734,1048451
53885,3529220,2048703
67774,4633453,3379404
168545,3040758,654477
18,4313207,2800438
90875,4158272,2875261
144947,2231082,3132375
163828,4244236,2820575
73936,575033,2706016
149300,2456195,1279291
10677,3390290,76468
131448,1718108,1201522
140973,3530346,238388
182958,2607276,94587
118857,178322,3317537
104827,4875951,2308551
115948,383656,2053401
57299,4262173,292900
84651,1251303,868222
146502,1386431,933132
136610,2242777,1305457
68217,2284734,570672
167399,789042,1285555
78582,3349231,1875568
73216,420357,1331653
12143,940019,2630729
139255,1751024,2351518
75507,896111,2927103
16589,2041904,2566710
80444,1619599,249006
72972,2999321,3246297
128559,4369985,943826
65426,4877083,2023309
143517,3716255,2592080
77397,4077890,792439
171427,2964940,338183
85692,4963709,2992622
97746,4328159,1477214
181386,1853434,2293518
67523,2134911,134384
70794,1372153,3244914
74183,5004093,2257478
29292,4652351,2308805
90696,1971009,784894
93082,4664832,2341366
192050,4181384,2250820
180402,2738339,2347698
189579,2724968,1813390
27629,3277344,3246834
32199,4461359,1561485
98051,1956890,1836248
51364,3031452,3293751
13591,2016755,1447028
146060,3278681,3091690
166557,535059,1093801
119515,1465226,2620880
182763,4335316,1408424
194165,4898646,2773468
35799,737777,422372
115146,2003122,64285
76029,2407760,944774
20564,4510876,1790490
110889,536528,3295156
69486,310833,2395379
171836,4059774,3078558
7608,1161075,1063471
105995,4247552,2810618
74311,2321687,664402
100676,1229197,1266731
18374,3250752,1725270
54494,3105013,2560820
35286,1982936,2231416
141369,304136,3060712
86907,4464569,1148500
47756,4905804,1848453
177570,4397027,1238892
173045,426688,2069502
44486,4345252,1383406
102470,1817616,2091632
158827,4421055,1251935
117659,2151301,170527
177391,4508518,278934
6785,4608816,2286003
107551,3404390,3024633
133510,4442930,1603750
59339,269926,1992202
196150,2415220,1357067
89165,858208,902606
121121,2314120,438561
57188,1551480,1054520
184071,4474260,523701
196181,2953997,1766942
29884,840184,2133424
191830,864361,1036163
26863,1903781,25697
121303,2904032,1678545
88466,4290232,3084750
29796,1241489,990945
156618,4522981,41586
113830,2890610,1084619
135356,1600591,1800032
154995,719800,2117418
74588,4592916,49306
142513,3527880,2938593
149603,1864394,2790726
148802,1758341,555738
121205,3498567,2388578
76103,1962032,1446574
28554,2223080,305576
160390,2314471,2593183
188211,1044466,1624130
116193,3193281,3201757
55268,680341,334304
197634,4733420,3340423
114599,2230046,938153
71093,4637865,3073666
33015,3450658,2926212
9930,4595109,279521
35215,2592893,3068717
84351,419864,1142372
79406,1588595,3100637
42976,3024111,460545
154299,3080612,753164
32673,3381733,2392379
76047,4468277,2223724
73264,2281666,291753
163526,3195575,1059874
12569,2148422,526271
164384,1495182,3197643
133103,4780203,2464311
81446,4605342,449504
8080,2779055,259761
97782,2286456,464928
131567,2536026,1294506
130790,2280308,332139
59122,4887238,2872751
68653,4488512,1697521
29531,834799,720782
141902,4938200,2735755
149573,4722906,2936963
156173,2086368,156557
172557,3881173,3314616
73201,2273984,40638
129511,1646637,1426637
17221,4348197,2742411
194416,3135384,1560235
197092,2794132,1566295
128731,1303131,2419903
164503,4271906,112168
151119,2954799,826633
82716,2128176,3198729
181565,4550897,847072
92267,4847051,1964494
92297,112734,2254130
57254,4484080,1389314
28181,2840750,1772699
126727,3592704,2163322
52969,1093860,2256089
84554,2318492,536436
14851,4722718,2821584
118804,1037835,1657483
3603,457956,2031676
89065,692439,726889
138679,1062065,3332706
14820,4295715,1909340
28175,3096066,1666316
125285,2851668,2630399
75813,4370881,1874924
99320,2566997,318334
100388,604674,2762983
